Summary,Priority,Severity
[Commands] handlers: Retarget action handlers aren't registered properly,P1,major
[Contributions] SubActionBars(IActionBars) was removed and needs to be resurrected,P1,blocker
[Commands] handlers: Inspect doesn't work,P1,major
[Commands] handlers: Key binding availability dependant on view focus,P1,major
[Commands] handlers: Provide help context ids,P1,enhancement
[Contexts] Window context stays active when find/replace dialog open,P1,major
"[Commands] handlers: Ctrl+. and Ctrl+, don't work any more",P1,major
"[Commands] handlers: Global keybindings don't work (Open Type, Search, ...)",P1,blocker
Editor saving doesn't work when editor is reopened,P1,major
Icons needed for actions (1GI5UXW),P1,enhancement
Renaming Scrapbook page does not remove associated VM (1GE5TZY),P1,critical
StackFrame selected but toolbar actions disable (1GEV0L7),P1,minor
"Inspect, Display, and Run to line, are enabled in all editors (1GFBIAG)",P1,minor
Concurrent modification in JDI cache (1GK7HTK),P1,normal
Text too low in change variable value text box (1GLE8CB),P1,critical
Hit count watchpoints not always re-enabled (1GLE911),P1,normal
Keep getting Locate Source dialog (1GF6BU2),P1,normal
Prompt user for save and build before run  (1GGCBO0),P1,critical
Eclipse Debugger: Setting Breakpoints via keyboard not possilbe (1GITILH),P1,normal
Evaluation does not update variable view,P1,normal
Internal Error on relaunch,P1,normal
Error when opening display view,P1,normal
Plugin Name in Plugin Registery is wrong,P1,normal
Step Over jumps to caller,P1,normal
NPE setting detail pane orientation,P1,normal
Problems using scrapbook,P1,critical
NPE out of the Console view on shutdown,P1,normal
RunToLine needs shortcut,P1,normal
Inner class breakpoints not hit,P1,critical
Stepping is slow,P1,critical
BadLocationException restoring DisplayView contents,P1,normal
Limited error reporting on failed launch with no recognized launchers,P1,critical
launch configurations not crash proof,P1,normal
native method exception retrieving source name,P1,normal
Launch configuration bugs,P1,normal
missing resource string: JavaRuntime.Setting_JRE_classpath_variables,P1,normal
Outline View has mnemonic collison,P1,normal
Mnemonic Collision in Console View,P1,normal
Tooltips for step filtering should use title capitalization,P1,normal
Detail evaluation timeout overwrites previous value,P1,normal
API - step filters should be configurable per target,P1,normal
Remove & Terminate walkback,P1,normal
Message on launch config dialog,P1,critical
JavaEnvironmentTab depends on JavaMainTab,P1,normal
Duplicate history items showing up,P1,normal
DebugActionGroups cannot handle two actions with same ID in views,P1,normal
ArrayOutOfBoundException in launch history pref page,P1,normal
exception in log - after opening/closing projects,P1,normal
Strange UI feedback when breakpoint hit during evaluation,P1,normal
CoreException thrown when no project is specified,P1,normal
ILaunchConfigurationTab#performApply called twice on hitting the Apply button,P1,major
Scrapbook launching failed,P1,critical
Cannot add internal jar to classpath,P1,normal
Revert button not enabled after changes,P1,normal
ArrayIndexOutOfBoundsException in config reselection,P1,normal
Sharing JRE,P1,normal
IllegalArgumentException when printing long stack to console,P1,critical
Generalize launch shortcuts/convenience actions,P1,normal
Default source lookup computed incorrectly,P1,normal
Replacing default JDK doesn't trigger rebuild,P1,normal
Stack overflow with cyclic projects (might belong to JDT/Core),P1,major
JavaLineBreakpoint holds JDIThread pointers,P1,normal
[antrunner] NPE with XmlLogger as listener,P1,normal
deadlock while running build.xml,P1,major
Ant: Buildfile: Target: Spaces in target names confuse eclipse,P1,normal
NPE trying to open launch configs,P1,normal
Deadlock on first checkout of java project,P1,critical
Targets specified as arguments not recognized,P1,normal
Custom ant task classes not found,P1,normal
Unbound classpath variables after upgrade,P1,critical
Can't seem to cancel JRE search,P1,major
Scrapbook launches showing up in history,P1,normal
Projects with external builders cause NPEs when built in headless mode,P1,normal
"""The resource tree is locked for modifications"" from JavaDebugOptionsManager",P1,normal
Deadlock using 0916,P1,normal
Encoding Support for Java editor broken,P1,critical
[ActivityMgmt] IllegalArgException in Capability preference page,P1,major
Vm detection fails on Linux,P1,critical
[DynamicUI] NPE trying to open GIF file,P1,blocker
[preferences][templates] NPE trying to edit code templates,P1,normal
[projection] NPE when typing characters in Incremental Find,P1,major
[ActivityMgmt] move activity image binding to the activitySupport extension point,P1,normal
[EditorMgmt] add performance tracking for content type resolution,P1,normal
Shaan price needs updating,P1,trivial
[Preferences] IDE should subclass FileEditorsPreferencePage,P1,normal
[ActivityMgmt] ImageBindingRegistry is never hooked into the extension registry,P1,major
[PropertiesView] Properties view broken on MacOS X,P1,major
[preferences][content assist] preference page issues,P1,normal
[content assist] AFE in LazyJavaCompletionProposal after content assis in breakpoint condition,P1,major
Enable or remove DiffApplierTest,P1,normal
[content assist] UI hangs in Code assist while showing additional info,P1,major
[content assist] Do not disable code assist processors automatically,P1,normal
[api][performance][content assist] add ability to fetch additional info of proposals in background thread,P1,normal
[content assist] Auto-complete for Javadoc @link reference,P1,major
[content assist] NPE in content assist,P1,normal
[rulers] Allow to see author in revision ruler,P1,enhancement
[implementation] Can the RevisionSelectionProvider adapter code be removed?,P1,normal
[rules] sticky live annotations in overview ruler not updated when typing,P1,normal
Shells don't fire move event when not visible (BBAWT),P1,major
Bogus UI freeze logged on Mac when opening a view menu,P1,major
Close all saved does not work all the time,P1,critical
[View Mgmt] Ctrl F6 and Ctrl F7 has inaccessible entries,P1,major
org.eclipse.ui.examples.redmetool.AddSentenceResolution is calling getEditors,P1,critical
Selection event not fired,P1,critical
[Editor Mgmt] SWTException in WorkbenchWindow opening a editor.,P1,critical
Mark the org.eclipse.ui.menus extension point as experimental,P1,normal
[Trim] configurer.setSaveAndRestore(true) doesn't work in 3.3M6,P1,normal
[Help]  For Eclipse 3.4.2  fix regression caused by fix for Bug 237326 - [Help][Context] F1 accessibility - no indication that help view has opened (since there is no focus change),P1,blocker
drag'n'drop - cannot dnd a file from a package to a resource folder (1GDF2T8),P1,critical
Drag and drop does not work properly in package view (1GE9I3G),P1,critical
Cannot copy into a project in packages view (1GEEOX6),P1,critical
Source lookup fails in self-host even for simple case (1GEN8EN),P1,critical
Source Attachment dialog initially comes up with error (1GF0GBL),P1,critical
"New fields show in content outline even if ""Hide Fields"" is selected (1GF65NC)",P1,critical
Smoke 124: Minor Code assist does not work if text is selected (1GFBJKA),P1,critical
Export to Jar does not include root-level resources (1GHSDS1),P1,critical
Open Type Dialog: The Map inteface has the class icon (1GI9HAZ),P1,major
Java examples project is not in Examples category (1GL2MWV),P1,normal
NPE in CompilationUnitEditorActionContributor,P1,major
Not present exception renaming class in java browsing perspective,P1,critical
JavaSearchPage.SearchPatternData must be a static class,P1,major
Internal error attaching source to a jar in a container,P1,major
Search/Replace: Disable for file searches,P1,critical
Override verlay: background is white not transparent,P1,normal
Package selection dialog shouldn't have default input value,P1,major
Code assist close,P1,critical
NPE: refactoring actions for .java file opened from repository enabled in pull down menu,P1,major
Type hierarchy should support JavaModel as input,P1,normal
Several NotPresentExceptions in log,P1,major
ProblemsLabelDecorator throws ResourceException when project not open,P1,critical
CompareEditorInput should not call OpenStrategy.setOpenMethod,P1,critical
[EditorMgmt] Keybinding not enabled when overwritten in subcontext,P1,normal
[Perspectives] NPE in PerspectiveSwitcher.setCoolItemSize() when coolbar hidden,P1,critical
Need to know if a package reference match is in Javadoc or in Code,P1,normal
[formatter] CodeFormatter does not format Javadoc,P1,major
[model][delta] Package Explorer only shows default package after import,P1,major
4% regression in build performance test #testFullBuildProjectAllWarnings,P1,normal
[formatter] New JavaDoc formatter wrongly indent tags description,P1,major
[perfs] No JDT/Core tests results in last baseline run,P1,major
[formatter] The formatter is still unstable in certain circumstances,P1,normal
JavaSearchBugTests.testBug286379c is failing randomly,P1,normal
[formatter] The formatter fails to format a compilation unit with deep nesting of html tags,P1,normal
Last local rather than remote date on update,P1,critical
[Sync Info] Locally deleted file not shown in team synchronization,P1,normal
Assertion failed applying patch,P1,blocker
[CSS] FileNotFoundException starting target workspace,P1,major
Test A4.4 cannot edit action set id in properties view,P1,critical
DBCS - GB18030: Input GB18030 characters as run arguments cause eclipse for motif crash.,P1,major
"GB18030: When viewing project properties of a GB18030 named project, eclipse for Motif crash.",P1,normal
CVS perspective has busy cursor,P1,major
Tracker does not keep up with mouse movement,P1,normal
Null Pointer when opening Folder in File>Open External File,P1,minor
Ctrl+ Clicking on PackageExplorer expands items,P1,normal
[Menus] menu items missing on first click,P1,normal
NPE in projetc sets,P1,normal
README: breakpoints in class with same name (1GDXNGO),P1,enhancement
Displaying a variable appends to same line (1GENIVH),P1,minor
Stop on Uncaught exception should be scoped (1GHOUOQ),P1,normal
Ctrl-S does not work in the SnippetEditor (1GL1GH8),P1,minor
NPE in LocalEvaluationEngine,P1,critical
"Breakpoints installed in all classes with ""name*"" (1GLCLBW)",P1,normal
Variables view stays empty with stack frame selected (1GLE8PW),P1,critical
DCR: Enable/Disable a breakpoint in vertical ruler of Java Editor (1GFQ6DY),P1,major
Add exception dialog ignores caught/uncaught selection,P1,normal
Remove SnippetSupportBreakpoint,P1,normal
ListenerList#removeAll,P1,normal
Meaningless brackets presented with primitive display options,P1,normal
Resource tree locked error on hot swap,P1,normal
Debugger Source Lookup page claims project is closed,P1,normal
Walkback while editing in the display view,P1,normal
Log errors to plugin log,P1,normal
Console IOException,P1,critical
Can't use F10,P1,normal
System threads show suspended at startup,P1,critical
Scrapbook does not work with JDK1.4,P1,critical
